iso_o,iso_d,comlang_off,distcap
DEU,BEL,1,653.1423
DEU,BGD,0,7077.438
DEU,BRA,0,9601.955
DEU,CAN,0,6134.981
DEU,CHN,0,7363.33
DEU,DEU,0,224.8358
DEU,EGY,0,2895.229
DEU,ESP,0,1873.129
DEU,FRA,0,880.187
DEU,GBR,0,936.1019
DEU,HKG,0,8759.48
DEU,IND,0,5785.567
DEU,ITA,0,1187.299
DEU,JPN,0,8927.671
DEU,KOR,0,8139.991
DEU,LKA,0,7825.898
DEU,MEX,0,9739.229
DEU,MYS,0,9623.965
DEU,NGA,0,4858.187
DEU,NLD,0,577.8569
DEU,PAK,0,5114.034
DEU,RUS,0,1614.179
DEU,SAU,0,4178.845
DEU,SGP,0,9932.874
DEU,TUR,0,2038.686
DEU,USA,0,6717.542
DEU,VNM,0,8337.11
DEU,ZAF,0,8828.848
EGY,ARE,1,2370.061
EGY,AUS,0,14279.4
EGY,BEL,0,3212.434
EGY,BGD,0,5848.475
EGY,BRA,0,9886.343
EGY,CAN,0,8866.373
EGY,CHN,0,7551.418
EGY,DEU,0,2895.229
EGY,EGY,0,376.3988
EGY,ESP,0,3355.657
EGY,FRA,0,3215.215
EGY,GBR,0,3516.866
EGY,HKG,0,8148.943
EGY,IND,0,4432.625
EGY,ITA,0,2133.612
EGY,JPN,0,9577.598
EGY,KOR,0,8497.368
EGY,LKA,0,5684.017
EGY,MEX,0,12384.58
EGY,MYS,0,7962.7
EGY,NGA,0,3414.671
EGY,NLD,0,3284.383
EGY,PAK,0,3952.961
EGY,RUS,0,2905.404
EGY,SAU,1,1645.602
EGY,SGP,0,8273.529
EGY,TUR,0,1109.213
EGY,USA,0,9357.814
EGY,VNM,0,7434.833
EGY,ZAF,0,6216.672
ESP,ARE,0,5634.667
ESP,AUS,0,17591.48
ESP,BEL,0,1316.64
ESP,BGD,0,8661.471
ESP,BRA,0,7743.538
ESP,CAN,0,5695.349
ESP,CHN,0,9232.299
ESP,DEU,0,1873.129
ESP,EGY,0,3355.657
ESP,ESP,0,267.5404
ESP,FRA,0,1054.656
ESP,GBR,0,1263.379
ESP,HKG,0,10551.06
ESP,IND,0,7282.046
ESP,ITA,0,1366.76
ESP,JPN,0,10777.42
ESP,KOR,0,10012.64
ESP,LKA,0,8975.765
ESP,MEX,1,9073.951
ESP,MYS,0,11084.66
ESP,NGA,0,3639.542
ESP,NLD,0,1481.366
ESP,PAK,0,6651.62
ESP,RUS,0,3449.3
ESP,SAU,0,4975.897
ESP,SGP,0,11400.13
ESP,TUR,0,3087.75
ESP,USA,0,6092.003
ESP,VNM,0,10053.22
ESP,ZAF,0,8070.031
FRA,ARE,0,5249.535
FRA,AUS,0,16938.09
FRA,BEL,1,262.3845
FRA,BGD,0,7916.79
FRA,BRA,0,8732.79
FRA,CAN,1,5653.213
FRA,CHN,0,8225.232
FRA,DEU,0,880.187
FRA,EGY,0,3215.215
